second,model,score
1,model_1,0.7
1,model_2,0.8
1,model_3,0.9
1,model_4,0.6
1,model_5,0.5
2,model_1,0.6967500297259539
2,model_2,0.8116818463150413
2,model_3,0.9034785849740729
2,model_4,0.5300819166284054
2,model_5,0.5095649089897052
3,model_1,0.689592441432178
3,model_2,0.817855589715764
3,model_3,0.9030402818508446
3,model_4,0.5586518417624756
3,model_5,0.5441526357317343
4,model_1,0.6943884973740205
4,model_2,0.8033901603054256
4,model_3,0.9055248403409496
4,model_4,0.5998558302270248
4,model_5,0.5692464411025867
5,model_1,0.6973636056343093
5,model_2,0.8149412607867272
5,model_3,0.9048931787954644
5,model_4,0.6428411357337609
5,model_5,0.5982776064192876
6,model_1,0.6937932228390127
6,model_2,0.8282561521138998
6,model_3,0.8998181106057018
6,model_4,0.6822867613658309
6,model_5,0.6426189757883549
7,model_1,0.68454120057635
7,model_2,0.843198250103742
7,model_3,0.8941113585280255
7,model_4,0.6390186222502962
7,model_5,0.6743320261128247
8,model_1,0.6790007113199681
8,model_2,0.8597710128594191
8,model_3,0.9018161562923342
8,model_4,0.6617594459187239
8,model_5,0.6848412253661081
9,model_1,0.6784070873307064
9,model_2,0.8705948521569373
9,model_3,0.9000976120773704
9,model_4,0.6880959557229653
9,model_5,0.7244190029101446
10,model_1,0.6741779405297712
10,model_2,0.8717352548893543
10,model_3,0.9064880453376101
10,model_4,0.6780845656758174
10,model_5,0.6795266557019204
11,model_1,0.6834399895323441
11,model_2,0.8667346581257882
11,model_3,0.910518190348521
11,model_4,0.6602346724364907
11,model_5,0.6961978631094098
12,model_1,0.6803286302555352
12,model_2,0.8679330754745754
12,model_3,0.9142463193926962
12,model_4,0.6149920963309705
12,model_5,0.7371100410353392
13,model_1,0.6724608859745785
13,model_2,0.8605019862763587
13,model_3,0.9102183424867691
13,model_4,0.5625080214440823
13,model_5,0.7097128857392817
14,model_1,0.6699266485031694
14,model_2,0.8548521494865421
14,model_3,0.9174939936958255
14,model_4,0.5253071396891028
14,model_5,0.6770092130405828
15,model_1,0.6612683916231618
15,model_2,0.8559359532780949
15,model_3,0.9253866222873331
15,model_4,0.5621502545056865
15,model_5,0.6847749863984063
16,model_1,0.665842654039152
16,model_2,0.8515762857627127
16,model_3,0.920534779271111
16,model_4,0.6161510704644024
16,model_5,0.7154921465786174
17,model_1,0.657482415898703
17,model_2,0.8352110097184781
17,model_3,0.9245916486810895
17,model_4,0.5652486941125243
17,model_5,0.7432798797730357
18,model_1,0.6534112819191068
18,model_2,0.8551416288036856
18,model_3,0.9195132661471145
18,model_4,0.5962463314458727
18,model_5,0.7239451736444608
19,model_1,0.6474811002798379
19,model_2,0.8638772452808919
19,model_3,0.911449062395841
19,model_4,0.6327991243079304
